Parameter   ,FoldChange ,ViralCycleTime      ,DidNotComplete ,Error
k_Cyto_ER   ,     0.1   , 6.87638327548999   ,False          ,
k_Cyto_ER   ,     0.3   , 7.049945960597606  ,False          ,
k_Cyto_ER   ,     1.0   , 6.021171136903751  ,False          ,
k_Cyto_ER   ,     3.0   , 5.80890408513458   ,False          ,
k_Cyto_ER   ,    10.0   , 5.800345493565791  ,False          ,
k_Cyto_ER   ,    30.0   , 5.799149839657677  ,False          ,
k_Cyto_ER   ,   100.0   , 5.7988313008488745 ,False          ,
k_Cyto_ER   ,   300.0   ,21.689302731409022  ,False          ,
k_Cyto_ER   ,  1000.0   ,21.689201922579418  ,False          ,

k_ER_ERGIC  ,     0.001 ,44.56249979592816   ,False          ,
k_ER_ERGIC  ,     0.003 ,33.731091729424904  ,False          ,
k_ER_ERGIC  ,     0.01  ,27.294689102192734  ,False          ,
k_ER_ERGIC  ,     0.03  ,24.17003020374702   ,False          ,
k_ER_ERGIC  ,     0.1   , 6.617887412679098  ,False          ,
k_ER_ERGIC  ,     0.3   , 5.883182474138639  ,False          ,
k_ER_ERGIC  ,     1.0   , 5.7988313008488745 ,False          ,
k_ER_ERGIC  ,     3.0   , 5.798007150558509  ,False          ,
k_ER_ERGIC  ,    10.0   , 5.797999362522038  ,False          ,
k_ER_ERGIC  ,    30.0   , 5.797997755451582  ,False          ,
k_ER_ERGIC  ,   100.0   ,48.0                ,True           ,
k_ER_ERGIC  ,   300.0   ,48.0                ,True           ,
k_ER_ERGIC  ,  1000.0   ,48.0                ,True           ,

k_Exo       ,     0.001 ,48.0                ,True           ,
k_Exo       ,     0.003 ,48.0                ,True           ,
k_Exo       ,     0.01  ,48.0                ,True           ,
k_Exo       ,     0.1   ,11.137171278351584  ,False          ,
k_Exo       ,     0.03  ,18.207734752758228  ,False          ,
k_Exo       ,     0.3   , 7.725157349366842  ,False          ,
k_Exo       ,     1.0   , 5.797997755451582  ,False          ,
k_Exo       ,     3.0   , 4.985213055538999  ,False          ,
k_Exo       ,    10.0   , 4.658143249275662  ,False          ,
k_Exo       ,    30.0   , 3.2230757589680974 ,False          ,
k_Exo       ,   100.0   , 3.1905821097799567 ,False          ,
k_Exo       ,   300.0   , 3.181315247723464  ,False          ,
k_Exo       ,  1000.0   , 3.178073641754971  ,False          ,
